source,target,weight
362,63,1.020408163
364,61,1.0567297
363,63,1.020408163
364,62,1.023114816
365,61,0.921658986
365,62,0.973312402
365,63,1.020408163
366,59,1.34083045
366,61,1.01201771
366,62,0.969618617
366,63,1.020408163
367,57,1.285240464
368,57,1.274117219
369,57,1.232965607
370,61,1.009436032
323,57,1.271420674
370,62,0.986768334
371,57,1.216141515
370,63,1.020408163
372,57,1.218905473
367,60,1.133040936
367,61,0.955794504
367,62,0.976800977
367,63,1.020408163
368,61,0.996590611
368,62,1.018493701
368,63,1.020408163
369,61,0.958391772
369,62,1.003344482
369,63,1.020408163
323,62,0.997150997
371,61,0.97570689
323,63,1.020408163
372,61,0.967741935
371,63,1.020408163
372,62,0.989010989
373,61,0.921658986
373,62,1.067503925
373,63,1.020408163
374,58,1.315789474
374,59,1.354489164
374,60,1.14265928
374,61,1.018675722
374,62,1.012145749
374,63,1.020408163
375,59,1.260504202
375,61,1.013824885
375,62,1.004709576
375,63,1.020408163
376,59,1.260504202
377,58,1.278409091
376,60,1.15914787
378,58,1.344476744
376,61,0.998463902
376,62,0.994243851
376,63,1.020408163
377,60,1.076555024
378,59,1.23119015
377,61,1.001955034
379,59,1.205882353
377,62,1.048951049
380,59,1.211072664
377,63,1.020408163
381,59,1.176470588
378,61,0.975243811
378,62,1.02223358
378,63,1.020408163
379,62,1.032967033
380,61,0.990934008
379,63,1.020408163
381,61,0.977517107
380,63,1.020408163
381,62,1.018981019
382,59,1.348039216
382,61,1.015531661
382,62,1.068376068
382,63,1.020408163
383,61,0.980392157
383,62,1.034259858
383,63,1.020408163
384,59,1.206636501
385,61,0.998463902
385,62,1.072736787
385,63,1.020408163
384,61,0.964984836
384,62,1.070724148
384,63,1.020408163
386,62,1.077354019
387,61,0.995619275
386,63,1.020408163
388,61,0.979262673
387,63,1.020408163
388,62,1.059654631
339,59,1.315789474
339,61,1.046972269
339,62,0.925390399
339,63,1.020408163
389,59,1.367989056
389,60,1.162790698
390,58,1.319444444
389,61,1.050262566
389,62,0.971121901
389,63,0.996677741
391,60,1.057791538
390,59,1.339869281
391,61,1.033101413
392,59,1.334422658
391,62,0.991165697
393,59,1.352941176
391,63,1.00040016
394,59,1.336898396
390,61,1.027479092
390,62,0.976800977
393,60,1.052631579
390,63,0.997732426
394,60,1.052631579
392,62,0.976800977
393,61,1.032258065
392,63,1.001511716
394,61,1.036168133
393,63,1
394,62,0.979020979
395,60,1.166267943
395,61,1.001955034
395,62,0.974025974
395,63,1.020408163
396,61,1.029512697
396,62,0.981996727
396,63,1.020408163
397,61,1.014404545
397,62,0.974497201
397,63,1.020408163
